37 PS,2164,2164,2166,2166,2180,2180,2195,2195,6101,6101,
0.035,0.04,0.034,0.035,0.036,0.041,0.045,0.037,0.036,0.038,0.038,0.046
0.036,0.594,0.854,0.482,0.501,0.173,0.408,0.499,0.842,2.782,3.414,0.071
0.038,0.833,0.719,0.276,0.462,0.124,0.159,0.471,0.726,2.653,3.21,0.093
0.036,0.995,0.748,0.421,0.379,0.226,0.237,0.393,0.736,2.721,3.149,0.077
0.038,0.809,1.036,0.412,0.446,0.218,0.219,0.478,0.716,1.965,3.449,0.072
0.038,0.809,0.973,0.47,0.587,0.299,0.325,0.441,0.419,1.023,3.069,0.068
0.036,1.371,1.478,0.57,0.919,0.811,0.601,0.487,0.598,3.09,3.052,0.067
0.037,0.039,0.037,0.039,0.043,0.038,0.038,0.038,0.037,0.036,0.036,0.044
37 PS,2197,2197,2198,2198,2202,2202,2209,2209,2210,2210,
0.034,0.034,0.033,0.037,0.035,0.036,0.039,0.037,0.037,0.032,0.034,0.033
0.035,0.175,0.256,0.486,0.822,0.603,0.393,0.296,0.258,0.279,0.19,0.062
0.035,0.13,0.226,0.622,0.588,0.514,0.331,0.23,0.233,0.271,0.219,0.063
0.037,0.171,0.209,0.543,0.596,0.443,0.292,0.184,0.179,0.156,0.162,0.067
0.036,0.181,0.141,0.496,0.568,0.307,0.394,0.188,0.145,0.365,0.156,0.077
0.036,0.131,0.135,0.623,0.487,0.341,0.47,0.263,0.142,0.384,0.184,0.065
0.038,0.133,0.325,0.516,0.587,0.54,0.363,0.332,0.379,0.25,0.158,0.063
0.041,0.035,0.037,0.038,0.038,0.039,0.037,0.047,0.036,0.035,0.036,0.039
37 PS,2221,2221,2225,2225,2226,2226,2251,2251,2272,2272,
0.038,0.041,0.037,0.039,0.038,0.043,0.037,0.036,0.038,0.034,0.035,0.035
0.04,0.211,0.248,0.313,0.35,0.116,0.319,0.259,0.282,0.317,0.372,0.128
0.041,0.134,0.155,0.422,0.378,0.156,0.128,0.114,0.135,0.162,0.193,0.081
0.046,0.135,0.127,0.245,0.267,0.121,0.15,0.184,0.203,0.219,0.243,0.076
0.044,0.138,0.267,0.355,0.212,0.126,1.07,0.226,0.182,0.302,0.238,0.08
0.043,0.173,0.362,0.338,0.237,0.175,1.198,0.27,0.243,0.314,0.393,0.064
0.04,0.997,0.96,0.504,0.468,0.323,1.018,0.418,0.495,0.345,0.466,0.073
0.039,0.044,0.04,0.042,0.037,0.054,0.04,0.038,0.037,0.038,0.034,0.036
37 PS,2283,2283,2319,2319,2323,2323,2493,2493,2520,2520,
0.039,0.036,0.036,0.036,0.037,0.045,0.036,0.038,0.036,0.039,0.042,0.039
0.039,0.371,0.448,0.303,0.372,0.233,0.273,0.319,0.354,0.392,0.268,0.071
0.04,0.199,0.196,0.307,0.333,0.176,0.19,0.294,0.474,0.487,0.3,0.081
0.043,0.183,0.146,0.209,0.346,0.168,0.184,0.278,0.342,0.186,0.23,0.075
0.042,0.178,0.12,0.225,0.494,0.151,0.153,0.85,0.55,0.39,0.261,0.074
0.04,0.168,0.131,0.22,0.459,0.157,0.124,1.301,0.47,0.35,0.22,0.074
0.038,0.177,0.159,0.352,0.684,0.279,0.238,1.197,0.466,0.503,0.47,0.087
0.044,0.04,0.037,0.039,0.041,0.039,0.041,0.037,0.038,0.037,0.041,0.041
37 PS,2555,2555,2560,2560,2568,2568,2572,2572,2583,2583,
0.037,0.041,0.035,0.04,0.038,0.043,0.04,0.037,0.04,0.04,0.036,0.056
0.04,0.221,0.241,0.248,0.166,0.266,0.308,0.478,0.367,0.188,0.356,0.074
0.04,0.199,0.176,0.162,0.202,0.153,0.248,0.331,0.247,0.223,0.299,0.216
0.038,0.192,0.145,0.137,0.168,0.19,0.198,0.326,0.26,0.223,0.253,0.078
0.037,0.187,0.168,0.138,0.144,0.163,0.225,0.221,0.162,0.237,0.136,0.093
0.037,0.108,0.167,0.176,0.162,0.156,0.132,0.328,0.178,0.297,0.291,0.072
0.039,0.199,0.205,0.25,0.276,0.294,0.253,0.373,0.264,0.381,0.134,0.081
0.039,0.038,0.037,0.041,0.037,0.041,0.039,0.042,0.04,0.033,0.037,0.042
37 PS,2588,2588,2626,2626,2629,2629,2632,2632,2694,2694,
0.036,0.034,0.034,0.035,0.037,0.037,0.04,0.037,0.034,0.036,0.034,0.038
0.036,0.078,0.092,0.354,0.39,0.251,0.237,0.172,0.279,0.474,0.632,0.082
0.042,0.085,0.103,0.556,0.563,0.255,0.227,0.203,0.212,0.789,0.999,0.086
0.036,0.118,0.097,0.425,0.554,0.248,0.17,0.1,0.216,0.661,0.758,0.094
0.037,0.105,0.092,0.346,0.205,0.263,0.651,0.208,0.138,0.204,0.328,0.082
0.037,0.088,0.096,0.44,0.282,0.195,0.673,0.259,0.139,0.276,0.154,0.076
0.036,0.161,0.102,0.303,0.283,0.462,0.623,0.385,0.24,0.212,0.119,0.073
0.038,0.039,0.036,0.037,0.039,0.039,0.037,0.038,0.038,0.035,0.036,0.036
37 PS,2695,2695,2696,2696,2697,2697,2702,2702,2703,2703,
0.038,0.04,0.04,0.036,0.037,0.04,0.038,0.038,0.037,0.039,0.038,0.04
0.036,0.319,0.663,0.382,0.445,0.565,0.493,0.335,0.329,0.344,0.498,0.101
0.037,0.386,0.446,0.473,0.311,0.68,0.756,0.457,0.715,0.434,0.749,0.093
0.035,0.324,0.376,0.65,0.483,0.682,0.753,0.423,0.471,0.525,0.918,0.101
0.039,0.656,0.413,0.248,0.205,0.49,0.616,0.317,0.305,0.426,0.229,0.081
0.038,0.551,0.386,0.676,0.32,0.492,0.634,0.373,0.273,0.355,0.19,0.095
0.038,0.474,0.333,0.279,0.304,0.355,0.514,0.458,0.258,0.319,0.191,0.094
0.039,0.04,0.039,0.042,0.041,0.039,0.036,0.038,0.042,0.033,0.044,0.039
37 PS,2704,2704,2705,2705,2634,2634,2710,2710,2689,2689,
0.035,0.034,0.033,0.035,0.037,0.04,0.04,0.036,0.036,0.038,0.034,0.035
0.037,0.26,0.325,0.348,0.378,0.543,0.471,0.505,0.581,0.575,0.534,0.079
0.036,0.271,0.244,0.3,0.297,0.61,0.51,0.556,0.534,0.716,0.6,0.093
0.038,0.259,0.204,0.268,0.257,0.574,0.451,0.465,0.459,0.718,0.445,0.119
0.036,0.274,0.188,0.207,0.154,0.483,0.606,0.386,0.415,0.321,0.51,0.096
0.04,0.301,0.179,0.228,0.163,0.328,0.618,0.318,0.413,0.515,0.45,0.107
0.037,0.305,0.321,0.358,0.245,0.404,0.917,0.369,0.44,0.528,0.264,0.075
0.04,0.048,0.038,0.04,0.041,0.042,0.038,0.041,0.04,0.037,0.037,0.051
37 PS,2712,2712,2713,2713,2762,2762,2770,2770,2773,2773,
0.035,0.044,0.035,0.036,0.037,0.04,0.039,0.04,0.036,0.037,0.039,0.045
0.036,0.329,0.348,0.356,0.207,0.244,0.235,0.268,0.172,0.247,0.108,0.106
0.038,0.204,0.193,0.138,0.14,0.153,0.169,0.157,0.088,0.124,0.125,0.081
0.035,0.188,0.238,0.147,0.116,0.182,0.133,0.117,0.174,0.124,0.114,0.085
0.038,0.194,0.559,0.164,0.211,0.197,0.121,0.125,0.125,0.212,0.233,0.09
0.04,0.229,0.556,0.187,0.215,0.323,0.248,0.166,0.096,0.186,0.171,0.074
0.039,0.267,0.76,0.132,0.216,0.322,0.201,0.242,0.142,0.219,0.258,0.085
0.038,0.038,0.05,0.039,0.041,0.05,0.042,0.039,0.039,0.039,0.047,0.05
37 PS,2802,2802,2805,2805,2806,2806,2809,2809,2821,2821,
0.036,0.034,0.033,0.037,0.048,0.036,0.038,0.038,0.035,0.033,0.035,0.033
0.035,0.187,0.2,0.143,0.164,0.109,0.23,0.197,0.12,0.094,0.115,0.126
0.036,0.14,0.14,0.181,0.16,0.13,0.129,0.136,0.123,0.132,0.102,0.067
0.038,0.163,0.11,0.174,0.171,0.084,0.155,0.135,0.133,0.171,0.208,0.085
0.036,0.207,0.134,0.14,0.123,0.083,0.323,0.148,0.131,0.168,0.157,0.079
0.038,0.23,0.147,0.235,0.229,0.161,0.326,0.134,0.235,0.189,0.16,0.067
0.037,0.205,0.322,0.408,0.285,0.303,1.128,0.263,0.278,0.231,0.204,0.069
0.044,0.039,0.037,0.039,0.039,0.041,0.039,0.048,0.036,0.035,0.037,0.042
37 PS,2823,2823,2871,2871,2872,2872,3078,3078,3083,3083,
0.038,0.04,0.037,0.038,0.036,0.039,0.04,0.036,0.036,0.033,0.035,0.036
0.04,0.122,0.14,0.109,0.104,0.143,0.2,0.693,0.257,0.19,0.16,0.138
0.039,0.191,0.128,0.12,0.139,0.174,0.133,0.911,0.637,0.178,0.155,0.069
0.042,0.131,0.09,0.092,0.109,0.112,0.174,0.995,0.72,0.189,0.179,0.076
0.037,0.136,0.139,0.116,0.111,0.11,0.165,0.261,0.166,0.154,0.159,0.071
0.04,0.173,0.199,0.149,0.139,0.163,0.211,0.238,0.18,0.189,0.129,0.071
0.04,0.164,0.222,0.236,0.399,0.254,0.389,0.404,0.242,0.256,0.172,0.084
0.039,0.042,0.04,0.042,0.038,0.045,0.042,0.038,0.037,0.038,0.035,0.037
37 PS,3084,3084,3256,3256,3258,3258,3457,3457,3483,3483,
0.039,0.036,0.036,0.036,0.037,0.041,0.036,0.04,0.037,0.039,0.042,0.04
0.039,0.135,0.162,0.158,0.181,0.168,0.307,0.32,0.354,0.242,0.261,0.216
0.04,0.145,0.198,0.228,0.24,0.196,0.25,0.247,0.231,0.149,0.193,0.067
0.043,0.107,0.174,0.22,0.236,0.15,0.22,0.251,0.274,0.147,0.215,0.073
0.043,0.179,0.327,0.223,0.137,0.105,0.237,0.261,0.158,0.114,0.183,0.076
0.04,0.167,0.267,0.186,0.146,0.142,0.208,0.195,0.115,0.21,0.225,0.082
0.038,0.222,0.496,0.201,0.194,0.17,0.25,0.357,0.166,0.229,0.201,0.07
0.044,0.04,0.038,0.04,0.041,0.04,0.042,0.038,0.039,0.038,0.041,0.04
37 PS,3545,3545,3549,3549,3550,3550,3557,3557,3558,3558,
0.037,0.041,0.036,0.039,0.038,0.043,0.039,0.036,0.039,0.04,0.036,0.056
0.04,0.204,0.227,0.112,0.138,0.123,0.267,0.437,0.469,0.295,0.235,0.081
0.04,0.148,0.26,0.131,0.144,0.154,0.215,0.206,0.299,0.172,0.349,0.076
0.037,0.289,0.341,0.128,0.119,0.16,0.284,0.291,0.341,0.276,0.492,0.118
0.038,0.281,0.455,0.145,0.214,0.118,1.744,0.272,0.243,1.147,0.259,0.093
0.037,0.168,0.407,0.095,0.2,0.089,1.66,0.326,0.242,1.172,0.279,0.081
0.039,0.4,0.805,0.24,0.318,0.176,2.261,0.644,0.486,1.026,0.367,0.079
0.039,0.038,0.037,0.041,0.037,0.041,0.039,0.042,0.04,0.033,0.037,0.043
37 PS,3570,3570,3571,3571,3586,3586,3587,3587,3601,3601,
0.036,0.034,0.034,0.035,0.035,0.037,0.039,0.037,0.034,0.037,0.035,0.038
0.036,0.285,0.277,0.315,0.349,0.129,0.125,0.115,0.088,0.138,0.144,0.18
0.042,0.109,0.171,0.236,0.268,0.195,0.189,0.149,0.129,0.213,0.21,0.07
0.037,0.123,0.11,0.28,0.303,0.171,0.198,0.146,0.136,0.118,0.152,0.078
0.037,0.195,0.175,0.531,0.845,0.147,0.217,0.137,0.186,0.185,0.14,0.079
0.037,0.117,0.133,0.641,0.691,0.157,0.207,0.148,0.198,0.201,0.126,0.076
0.036,0.228,0.215,0.623,0.992,0.51,0.45,0.214,0.283,0.323,0.3,0.073
0.037,0.037,0.036,0.037,0.037,0.039,0.038,0.038,0.038,0.036,0.036,0.036
37 PS,3615,3615,3699,3699,3711,3711,3718,3718,3725,3725,
0.038,0.04,0.039,0.037,0.037,0.039,0.037,0.038,0.038,0.039,0.038,0.039
0.036,0.125,0.22,0.121,0.112,0.135,0.274,0.327,0.29,0.125,0.25,0.081
0.037,0.198,0.168,0.177,0.134,0.127,0.187,0.188,0.242,0.159,0.228,0.066
0.036,0.183,0.167,0.251,0.189,0.129,0.191,0.213,0.205,0.175,0.274,0.069
0.039,0.17,0.155,0.156,0.135,0.181,0.248,0.241,0.165,0.206,0.162,0.085
0.039,0.168,0.155,0.241,0.138,0.19,0.239,0.213,0.171,0.198,0.137,0.071
0.04,0.148,0.158,0.255,0.15,0.201,0.707,0.395,0.26,0.431,0.207,0.063
0.04,0.042,0.04,0.042,0.038,0.039,0.037,0.039,0.039,0.034,0.044,0.04
37 PS,4005,4005,4016,4016,4021,4021,3713,3713,6101,6101,
0.036,0.034,0.034,0.035,0.036,0.04,0.039,0.036,0.034,0.036,0.035,0.035
0.038,0.291,0.294,0.201,0.22,0.287,0.321,0.236,0.225,2.281,2.664,0.078
0.036,0.281,0.239,0.145,0.236,0.147,0.206,0.161,0.154,1.733,2.867,0.64
0.039,0.223,0.253,0.153,0.286,0.166,0.199,0.167,0.18,2.684,3.535,0.075
0.036,0.258,0.226,0.169,0.138,0.129,0.139,0.156,0.186,2.284,2.807,0.086
0.04,0.237,0.197,0.173,0.101,0.122,0.154,0.145,0.133,0.843,2.667,0.069
0.038,0.286,0.338,0.237,0.204,0.37,0.201,0.153,0.147,1.033,3.021,0.071
0.039,0.048,0.038,0.04,0.041,0.041,0.039,0.038,0.042,0.037,0.037,0.051
37 PS,4022,4022,4025,4025,4035,4035,4040,4040,4044,4044,
0.035,0.044,0.035,0.037,0.036,0.042,0.035,0.041,0.039,0.037,0.039,0.047
0.036,0.203,0.276,0.144,0.282,0.295,0.301,0.362,0.327,0.387,0.344,0.223
0.04,0.272,0.393,0.158,0.152,0.213,0.226,0.162,0.184,0.137,0.093,0.106
0.036,0.269,0.365,0.143,0.149,0.214,0.193,0.154,0.158,0.178,0.127,0.099
0.038,0.304,0.605,0.132,0.196,0.218,0.466,0.162,0.397,0.194,0.297,0.079
0.039,0.578,0.699,0.19,0.25,0.225,0.493,0.235,0.506,0.251,0.254,0.072
0.04,0.629,0.798,0.426,0.374,0.34,0.943,0.449,0.669,0.497,0.806,0.093
0.038,0.038,0.043,0.04,0.041,0.042,0.043,0.039,0.041,0.04,0.044,0.049
37 PS,4048,4048,4118,4118,4129,4129,4138,4138,4201,4201,
0.037,0.039,0.038,0.038,0.036,0.035,0.04,0.036,0.037,0.034,0.035,0.036
0.039,0.288,0.306,0.2,0.239,0.15,0.207,0.239,0.391,0.203,0.203,0.169
0.037,0.257,0.192,0.212,0.412,0.115,0.178,0.149,0.183,0.16,0.158,0.153
0.041,0.222,0.162,0.178,0.208,0.186,0.167,0.137,0.157,0.174,0.182,0.095
0.037,0.3,0.23,0.266,0.351,0.239,0.117,0.159,0.569,0.181,0.189,0.079
0.04,0.308,0.392,0.405,0.268,0.246,0.131,0.281,0.377,0.185,0.159,0.082
0.04,0.52,0.702,0.355,0.353,0.579,0.376,0.57,0.295,0.322,0.32,0.088
0.039,0.041,0.04,0.041,0.038,0.047,0.039,0.038,0.037,0.035,0.035,0.037
37 PS,4214,4214,4297,4297,4298,4298,4306,4306,4310,4310,
0.038,0.035,0.036,0.037,0.041,0.041,0.036,0.04,0.037,0.038,0.046,0.04
0.037,0.239,0.218,0.373,0.381,0.409,0.499,0.286,0.243,0.147,0.155,0.277
0.038,0.174,0.171,0.458,0.605,0.401,0.339,0.22,0.24,0.145,0.151,0.069
0.039,0.213,0.15,0.543,0.534,0.461,0.423,0.263,0.262,0.18,0.191,0.079
0.041,0.307,0.191,0.273,0.123,0.156,0.154,0.224,0.362,0.162,0.404,0.069
0.039,0.322,0.135,0.234,0.144,0.193,0.121,0.272,0.399,0.172,0.151,0.075
0.037,0.381,0.467,0.152,0.1,0.339,0.128,0.36,0.466,0.227,0.103,0.064
0.042,0.038,0.038,0.039,0.038,0.04,0.042,0.039,0.039,0.037,0.04,0.04
37 PS,4315,4315,4317,4317,4319,4319,4322,4322,4325,4325,
0.037,0.039,0.035,0.038,0.037,0.043,0.039,0.036,0.039,0.042,0.036,0.059
0.039,0.341,0.349,0.146,0.138,0.189,0.235,0.281,0.263,0.274,0.227,0.266
0.04,0.246,0.201,0.101,0.14,0.166,0.176,0.311,0.269,0.181,0.19,0.086
0.037,0.407,0.171,0.114,0.128,0.164,0.186,0.471,0.415,0.208,0.19,0.082
0.037,0.327,0.142,0.114,0.145,0.23,0.26,0.191,0.293,0.239,0.238,0.101
0.036,0.961,0.327,0.153,0.247,0.319,0.381,0.208,0.385,0.291,0.292,0.084
0.038,0.662,0.894,0.694,0.849,0.691,0.383,0.298,0.404,0.57,0.164,0.093
0.039,0.038,0.037,0.041,0.037,0.041,0.04,0.043,0.041,0.034,0.037,0.043
37 PS,4326,4326,4328,4328,4329,4329,4333,4333,4336,4336,
0.036,0.034,0.034,0.034,0.035,0.037,0.04,0.037,0.036,0.035,0.036,0.038
0.036,0.221,0.362,0.213,0.394,0.203,0.332,0.343,0.596,0.236,0.33,0.245
0.042,0.202,0.329,0.21,0.249,0.183,0.207,0.223,0.303,0.135,0.194,0.076
0.037,0.264,0.291,0.164,0.23,0.163,0.193,0.221,0.178,0.147,0.195,0.075
0.037,0.63,0.692,0.193,0.652,0.326,0.352,0.364,0.768,0.32,0.361,0.077
0.037,0.41,1.141,0.312,0.893,0.361,0.943,0.342,1.604,0.535,0.243,0.07
0.037,0.752,1.14,1.149,1.869,0.631,0.247,1.217,1.101,0.935,0.197,0.073
0.037,0.037,0.037,0.038,0.038,0.04,0.037,0.038,0.038,0.035,0.036,0.036
37 PS,4344,4344,4348,4348,4365,4365,4371,4371,4372,4372,
0.038,0.04,0.037,0.037,0.037,0.039,0.038,0.038,0.037,0.039,0.038,0.039
0.036,0.505,0.228,0.125,0.101,0.111,0.196,0.333,0.334,0.382,0.352,0.208
0.037,0.463,0.312,0.169,0.137,0.165,0.158,0.177,0.207,0.25,0.267,0.066
0.036,0.413,0.28,0.157,0.183,0.153,0.151,0.174,0.242,0.246,0.264,0.077
0.04,0.442,0.541,0.185,0.21,0.195,0.212,0.257,0.383,0.238,0.374,0.074
0.039,0.427,0.385,0.177,0.19,0.141,0.186,0.355,0.439,0.315,0.398,0.074
0.037,0.481,0.474,0.161,0.215,0.139,0.232,0.315,0.434,0.458,0.326,0.07
0.039,0.041,0.041,0.041,0.038,0.04,0.037,0.039,0.039,0.034,0.045,0.04
37 PS,4374,4374,4381,4381,4402,4402,4408,4408,4417,4417,
0.036,0.036,0.035,0.037,0.036,0.038,0.039,0.035,0.037,0.038,0.037,0.037
0.039,0.654,0.619,0.19,0.254,0.237,0.374,0.514,0.533,0.245,0.201,0.289
0.036,0.511,0.476,0.183,0.183,0.264,0.336,0.403,0.394,0.192,0.217,0.08
0.039,0.411,0.412,0.209,0.173,0.236,0.292,0.497,0.359,0.165,0.162,0.073
0.036,0.788,0.733,0.217,0.263,0.388,0.573,0.41,0.643,0.215,0.347,0.074
0.039,0.636,0.921,0.287,0.184,0.435,0.519,0.472,0.567,0.22,0.396,0.088
0.038,0.593,1.175,0.321,0.297,0.542,0.597,0.961,0.677,0.45,0.471,0.079
0.039,0.047,0.038,0.038,0.038,0.04,0.039,0.04,0.042,0.037,0.037,0.046
37 PS,4418,4418,4419,4419,4422,4422,4431,4431,6101,6101,
0.034,0.035,0.039,0.035,0.038,0.035,0.036,0.041,0.035,0.033,0.034,0.034
0.038,0.321,0.41,0.218,0.257,0.526,0.711,0.384,0.643,1.086,1.421,0.309
0.039,0.4,0.482,0.252,0.237,0.387,0.407,0.468,0.89,1.062,1.421,2.136
0.037,0.265,0.413,0.242,0.252,0.257,0.839,0.509,0.856,1.109,1.624,0.111
0.036,0.429,0.346,0.224,0.182,0.504,0.435,0.546,0.776,1.100,2.277,0.077
0.036,0.865,0.368,0.21,0.163,0.562,0.604,0.619,0.573,1.256,2.523,0.086
0.036,0.937,1.35,0.308,0.23,1.251,0.502,1.514,0.588,2.692,2.71,0.074
0.042,0.036,0.037,0.037,0.039,0.037,0.037,0.039,0.036,0.034,0.039,0.036
37 PS,4437,4437,4443,4443,4444,4444,4460,4460,4469,4469,
0.034,0.038,0.037,0.035,0.036,0.039,0.037,0.041,0.04,0.033,0.034,0.034
0.037,0.221,0.433,0.285,0.297,0.35,0.799,0.27,0.229,0.32,0.571,0.159
0.04,0.186,0.17,0.188,0.255,0.266,0.257,0.15,0.196,0.253,0.387,0.124
0.037,0.18,0.171,0.168,0.258,0.284,0.279,0.169,0.242,0.236,0.337,0.153
0.037,0.152,0.277,0.385,0.363,0.406,0.249,0.168,0.236,0.256,0.81,0.147
